timestamp,bm,createTime,mbbAfter,mbbBefore,reportType,rrInterval,uploadTime,showtimestamp
1690332900040,10.0,2023-07-26 09:04:10,2331.0,2332.0,1.0,830.0,2023-07-26 09:04:10,2023-07-26 08:55:00
1690332900840,12.0,2023-07-26 09:04:10,2482.0,1939.0,1.0,800.0,2023-07-26 09:04:10,2023-07-26 08:55:00
1690332901700,12.0,2023-07-26 09:04:10,1287.0,2195.0,1.0,860.0,2023-07-26 09:04:10,2023-07-26 08:55:01
1690332902370,214.0,2023-07-26 09:04:10,69334.0,16070.0,1.0,670.0,2023-07-26 09:04:10,2023-07-26 08:55:02
1690332904240,38.0,2023-07-26 09:04:10,7956.0,40463.0,1.0,1870.0,2023-07-26 09:04:10,2023-07-26 08:55:04
1690332904970,278.0,2023-07-26 09:04:10,26751.0,1130.0,1.0,730.0,2023-07-26 09:04:10,2023-07-26 08:55:04
1690332906040,526.0,2023-07-26 09:04:10,75109.0,117234.0,1.0,1070.0,2023-07-26 09:04:10,2023-07-26 08:55:06
1690332907680,4.0,2023-07-26 09:04:10,21251.0,102478.0,1.0,1640.0,2023-07-26 09:04:10,2023-07-26 08:55:07
1690332910510,10.0,2023-07-26 09:04:10,896.0,4889.0,1.0,2830.0,2023-07-26 09:04:10,2023-07-26 08:55:10
1690332911260,16.0,2023-07-26 09:04:10,2406.0,720.0,1.0,750.0,2023-07-26 09:04:10,2023-07-26 08:55:11
1690332912050,146.0,2023-07-26 09:04:10,9428.0,1288.0,1.0,790.0,2023-07-26 09:04:10,2023-07-26 08:55:12
1690332913680,20.0,2023-07-26 09:04:10,3196.0,9109.0,1.0,1630.0,2023-07-26 09:04:10,2023-07-26 08:55:13
1690332914680,4.0,2023-07-26 09:04:10,788.0,663.0,1.0,1000.0,2023-07-26 09:04:10,2023-07-26 08:55:14
1690332915610,14.0,2023-07-26 09:04:10,688.0,825.0,1.0,930.0,2023-07-26 09:04:10,2023-07-26 08:55:15
1690332916540,6.0,2023-07-26 09:04:10,869.0,637.0,1.0,930.0,2023-07-26 09:04:10,2023-07-26 08:55:16
1690332917480,10.0,2023-07-26 09:04:10,1121.0,887.0,1.0,940.0,2023-07-26 09:04:10,2023-07-26 08:55:17
1690332918440,12.0,2023-07-26 09:04:10,2333.0,1107.0,1.0,960.0,2023-07-26 09:04:10,2023-07-26 08:55:18
1690332919390,8.0,2023-07-26 09:04:10,1152.0,1222.0,1.0,950.0,2023-07-26 09:04:10,2023-07-26 08:55:19
1690332920330,74.0,2023-07-26 09:04:10,1736.0,868.0,1.0,940.0,2023-07-26 09:04:10,2023-07-26 08:55:20
1690332921170,266.0,2023-07-26 09:04:10,5507.0,299.0,1.0,840.0,2023-07-26 09:04:10,2023-07-26 08:55:21
1690332922350,468.0,2023-07-26 09:04:10,4241.0,5302.0,1.0,1180.0,2023-07-26 09:04:10,2023-07-26 08:55:22
1690332923050,512.0,2023-07-26 09:04:10,5735.0,3494.0,1.0,700.0,2023-07-26 09:04:10,2023-07-26 08:55:23
1690332923880,212.0,2023-07-26 09:04:10,15366.0,6795.0,1.0,830.0,2023-07-26 09:04:10,2023-07-26 08:55:23
1690332924350,288.0,2023-07-26 09:04:10,12043.0,4608.0,1.0,470.0,2023-07-26 09:04:10,2023-07-26 08:55:24
1690332925690,300.0,2023-07-26 09:04:10,44334.0,9505.0,1.0,1340.0,2023-07-26 09:04:10,2023-07-26 08:55:25
1690332926250,252.0,2023-07-26 09:04:10,86194.0,50251.0,1.0,560.0,2023-07-26 09:04:10,2023-07-26 08:55:26
1690332927300,578.0,2023-07-26 09:04:10,4900.0,20108.0,1.0,1050.0,2023-07-26 09:04:10,2023-07-26 08:55:27
1690332928410,12.0,2023-07-26 09:04:10,2245.0,28404.0,1.0,1110.0,2023-07-26 09:04:10,2023-07-26 08:55:28
1690332929260,10.0,2023-07-26 09:04:10,1714.0,1485.0,1.0,850.0,2023-07-26 09:04:10,2023-07-26 08:55:29
1690332930080,26.0,2023-07-26 09:04:10,913.0,480.0,1.0,820.0,2023-07-26 09:04:10,2023-07-26 08:55:30
1690332930910,2.0,2023-07-26 09:04:10,1025.0,548.0,1.0,830.0,2023-07-26 09:04:10,2023-07-26 08:55:30
1690332931800,18.0,2023-07-26 09:04:10,456.0,944.0,1.0,890.0,2023-07-26 09:04:10,2023-07-26 08:55:31
1690332932280,226.0,2023-07-26 09:04:10,11354.0,1523.0,1.0,480.0,2023-07-26 09:04:10,2023-07-26 08:55:32
1690332933150,434.0,2023-07-26 09:04:10,5154.0,33227.0,1.0,870.0,2023-07-26 09:04:10,2023-07-26 08:55:33
