timestamp,reportType,mbbBefore,createTime,bm,uploadTime,rrInterval,mbbAfter,showtimestamp
1695178081400,1.0,849.0,2023-09-20 11:15:06,32.0,2023-09-20 11:15:05,1550.0,612.0,2023-09-20 10:48:01
1695178082140,1.0,1396.0,2023-09-20 11:15:06,58.0,2023-09-20 11:15:05,740.0,2173.0,2023-09-20 10:48:02
1695178083210,1.0,719.0,2023-09-20 11:15:06,22.0,2023-09-20 11:15:05,1070.0,660.0,2023-09-20 10:48:03
1695178083870,1.0,576.0,2023-09-20 11:15:06,26.0,2023-09-20 11:15:05,660.0,117.0,2023-09-20 10:48:03
1695178084320,1.0,223.0,2023-09-20 11:15:06,18.0,2023-09-20 11:15:06,450.0,788.0,2023-09-20 10:48:04
1695178085610,1.0,1859.0,2023-09-20 11:15:06,16.0,2023-09-20 11:15:06,1290.0,1052.0,2023-09-20 10:48:05
1695178086210,1.0,526.0,2023-09-20 11:15:06,80.0,2023-09-20 11:15:06,600.0,229.0,2023-09-20 10:48:06
1695178086630,1.0,691.0,2023-09-20 11:15:06,10.0,2023-09-20 11:15:06,420.0,1008.0,2023-09-20 10:48:06
1695178088210,1.0,766.0,2023-09-20 11:15:06,6.0,2023-09-20 11:15:06,1580.0,136.0,2023-09-20 10:48:08
1695178089060,1.0,86.0,2023-09-20 11:15:06,8.0,2023-09-20 11:15:06,850.0,246.0,2023-09-20 10:48:09
1695178089970,1.0,161.0,2023-09-20 11:15:06,8.0,2023-09-20 11:15:06,910.0,107.0,2023-09-20 10:48:09
1695178090850,1.0,209.0,2023-09-20 11:15:06,12.0,2023-09-20 11:15:06,880.0,491.0,2023-09-20 10:48:10
1695178092710,1.0,860.0,2023-09-20 11:15:06,6.0,2023-09-20 11:15:06,1860.0,484.0,2023-09-20 10:48:12
1695178093610,1.0,188.0,2023-09-20 11:15:06,16.0,2023-09-20 11:15:06,900.0,298.0,2023-09-20 10:48:13
1695178094450,1.0,265.0,2023-09-20 11:15:06,26.0,2023-09-20 11:15:06,840.0,1047.0,2023-09-20 10:48:14
1695178095550,1.0,740.0,2023-09-20 11:15:06,4.0,2023-09-20 11:15:06,1100.0,515.0,2023-09-20 10:48:15
1695178096260,1.0,92.0,2023-09-20 11:15:06,14.0,2023-09-20 11:15:06,710.0,650.0,2023-09-20 10:48:16
1695178097150,1.0,626.0,2023-09-20 11:15:06,2.0,2023-09-20 11:15:06,890.0,689.0,2023-09-20 10:48:17
1695178098110,1.0,688.0,2023-09-20 11:15:06,6.0,2023-09-20 11:15:06,960.0,749.0,2023-09-20 10:48:18
1695178099010,1.0,217.0,2023-09-20 11:15:06,4.0,2023-09-20 11:15:06,900.0,445.0,2023-09-20 10:48:19
1695178099930,1.0,292.0,2023-09-20 11:15:06,6.0,2023-09-20 11:15:06,920.0,460.0,2023-09-20 10:48:19
1695178100860,1.0,413.0,2023-09-20 11:15:06,6.0,2023-09-20 11:15:06,930.0,515.0,2023-09-20 10:48:20
1695178101760,1.0,301.0,2023-09-20 11:15:06,646.0,2023-09-20 11:15:06,900.0,2018.0,2023-09-20 10:48:21
1695178102800,1.0,591.0,2023-09-20 11:15:06,100.0,2023-09-20 11:15:06,1040.0,717.0,2023-09-20 10:48:22
1695178103260,1.0,292.0,2023-09-20 11:15:06,22.0,2023-09-20 11:15:06,460.0,905.0,2023-09-20 10:48:23
1695178103680,1.0,1887.0,2023-09-20 11:15:06,248.0,2023-09-20 11:15:06,420.0,10759.0,2023-09-20 10:48:23
1695178104380,1.0,5662.0,2023-09-20 11:15:06,658.0,2023-09-20 11:15:06,700.0,40183.0,2023-09-20 10:48:24
1695178104950,1.0,12125.0,2023-09-20 11:15:06,902.0,2023-09-20 11:15:06,570.0,57236.0,2023-09-20 10:48:24
1695178105840,1.0,150820.0,2023-09-20 11:15:06,350.0,2023-09-20 11:15:06,890.0,97471.0,2023-09-20 10:48:25
1695178106480,1.0,53767.0,2023-09-20 11:15:06,222.0,2023-09-20 11:15:06,640.0,26008.0,2023-09-20 10:48:26
1695178107020,1.0,3695.0,2023-09-20 11:15:06,680.0,2023-09-20 11:15:06,540.0,84049.0,2023-09-20 10:48:27
1695178108590,1.0,16710.0,2023-09-20 11:15:06,262.0,2023-09-20 11:15:06,1570.0,4285.0,2023-09-20 10:48:28
1695178108980,1.0,11935.0,2023-09-20 11:15:06,104.0,2023-09-20 11:15:06,390.0,51968.0,2023-09-20 10:48:28
1695178109710,1.0,25564.0,2023-09-20 11:15:06,140.0,2023-09-20 11:15:06,730.0,47084.0,2023-09-20 10:48:29
1695178110590,1.0,21314.0,2023-09-20 11:15:06,152.0,2023-09-20 11:15:06,880.0,8474.0,2023-09-20 10:48:30
1695178110980,1.0,14838.0,2023-09-20 11:15:06,30.0,2023-09-20 11:15:06,390.0,16612.0,2023-09-20 10:48:30
1695178111730,1.0,4476.0,2023-09-20 11:15:06,48.0,2023-09-20 11:15:06,750.0,10284.0,2023-09-20 10:48:31
1695178112770,1.0,9176.0,2023-09-20 11:15:06,200.0,2023-09-20 11:15:06,1040.0,2998.0,2023-09-20 10:48:32
1695178113610,1.0,1481.0,2023-09-20 11:15:06,138.0,2023-09-20 11:15:06,840.0,31800.0,2023-09-20 10:48:33
1695178114790,1.0,33802.0,2023-09-20 11:15:06,222.0,2023-09-20 11:15:06,1180.0,108558.0,2023-09-20 10:48:34
1695178115980,1.0,88485.0,2023-09-20 11:15:06,178.0,2023-09-20 11:15:06,1190.0,87525.0,2023-09-20 10:48:35
1695178116410,1.0,27071.0,2023-09-20 11:15:06,66.0,2023-09-20 11:15:06,430.0,53881.0,2023-09-20 10:48:36
1695178117380,1.0,240291.0,2023-09-20 11:15:06,114.0,2023-09-20 11:15:06,970.0,17518.0,2023-09-20 10:48:37
1695178118890,1.0,13945.0,2023-09-20 11:15:06,98.0,2023-09-20 11:15:06,400.0,83769.0,2023-09-20 10:48:38
1695178120020,1.0,188355.0,2023-09-20 11:15:06,70.0,2023-09-20 11:15:06,1130.0,97424.0,2023-09-20 10:48:40
1695178121090,1.0,193767.0,2023-09-20 11:15:06,140.0,2023-09-20 11:15:06,1070.0,9773.0,2023-09-20 10:48:41
1695178121380,1.0,6147.0,2023-09-20 11:15:06,46.0,2023-09-20 11:15:06,290.0,83834.0,2023-09-20 10:48:41
1695178122980,1.0,361962.0,2023-09-20 11:15:06,456.0,2023-09-20 11:15:06,1600.0,81713.0,2023-09-20 10:48:42
1695178123960,1.0,29192.0,2023-09-20 11:15:06,86.0,2023-09-20 11:15:06,980.0,3555.0,2023-09-20 10:48:43
1695178124270,1.0,9099.0,2023-09-20 11:15:06,72.0,2023-09-20 11:15:06,310.0,12137.0,2023-09-20 10:48:44
1695178125740,1.0,2378.0,2023-09-20 11:15:06,44.0,2023-09-20 11:15:06,1470.0,907.0,2023-09-20 10:48:45
1695178126670,1.0,1153.0,2023-09-20 11:15:06,30.0,2023-09-20 11:15:06,930.0,455.0,2023-09-20 10:48:46
1695178126960,1.0,421.0,2023-09-20 11:15:06,58.0,2023-09-20 11:15:06,290.0,2131.0,2023-09-20 10:48:46
1695178128400,1.0,5098.0,2023-09-20 11:15:06,6.0,2023-09-20 11:15:06,1440.0,1080.0,2023-09-20 10:48:48
1695178129420,1.0,242.0,2023-09-20 11:15:06,76.0,2023-09-20 11:15:06,1020.0,1722.0,2023-09-20 10:48:49
1695178130720,1.0,2422.0,2023-09-20 11:15:06,50.0,2023-09-20 11:15:06,1300.0,1737.0,2023-09-20 10:48:50
1695178131300,1.0,966.0,2023-09-20 11:15:06,772.0,2023-09-20 11:15:06,580.0,47710.0,2023-09-20 10:48:51
