timestamp,rrInterval,areaUp,areaDown,motion
1693551636020,650,1528,5089,0
1693551636700,680,1578,4876,0
1693551637380,680,5766,4976,64
1693551638040,660,1690,3327,16
1693551638710,670,4372,2758,100
1693551639350,640,1654,3616,24
1693551639930,580,1329,8791,32
1693551640550,620,9136,2913,30
1693551641180,630,6091,4025,88
1693551641780,600,387,3908,20
1693551642380,600,2104,3789,2
1693551642960,580,1363,4156,0
1693551643540,580,4959,2854,28
1693551644190,650,1865,2781,32
1693551644690,500,1307,1306,134
1693551645300,610,3068,4675,16
1693551645930,630,1627,4934,2
1693551646590,660,1815,4805,0
1693551647270,680,1638,6030,0
1693551647910,640,1245,4066,0
1693551649170,1260,15773,11294,108
1693551649830,660,9262,850,30
1693551650100,270,330,1455,52
1693551650730,630,2504,2452,284
1693551651160,430,971,2550,196
1693551651810,650,1498,8104,166
1693551652470,660,8525,2616,190
1693551652760,290,1290,1273,84
1693551653110,350,348,915,138
1693551653730,620,1863,6755,204
1693551654360,630,6249,1108,54
1693551655050,690,3901,9696,138
1693551655690,640,2551,1174,178
1693551656240,550,2994,7380,258
1693551657120,880,4578,6397,196
1693551657760,640,1554,5200,12
1693551658430,670,1657,5745,22
1693551658910,480,2761,5472,22
1693551664120,560,1911,1679,364
1693551664760,640,2385,7002,38
1693551665240,480,355,4434,138
1693551665910,670,1325,3204,290
1693551666600,690,6144,4392,484
1693551667260,660,1916,1486,274
1693551667840,580,2259,2796,190
1693551668130,290,348,1450,90
1693551669060,930,2496,21327,328
1693551669730,670,5383,4123,122
1693551670730,1000,5522,16004,164
1693551671610,880,4230,3108,10
1693551672240,630,1591,6322,4
1693551672870,630,1170,3625,2
1693551673470,600,5809,4028,34
1693551674140,670,1624,3853,222
1693551674620,480,1567,2671,116
1693551674980,360,3467,1488,64
1693551675830,670,2239,10439,24
1693551676450,620,8956,4546,68
1693551677010,560,6213,1141,52
1693551677690,680,1636,10134,100
1693551678370,680,3249,7830,108
1693551678650,280,1638,459,48
1693551679200,550,1980,628,40
1693551679620,420,260,2749,36
1693551680180,560,1710,5157,2
1693551680970,790,7415,3163,42
1693551681350,380,940,1313,22
1693551682090,740,1152,9419,22
1693551682850,760,5758,2661,40
1693551683500,650,4521,517,56
1693551684100,600,996,5011,164
1693551684640,540,5477,2121,178
1693551685170,530,109,8398,142
1693551686170,1000,4615,5243,94
1693551686830,660,1197,3546,32
1693551687510,680,1015,7381,126
1693551688230,720,3747,3916,72
1693551689070,840,2677,7979,4
1693551689920,850,1601,7821,4
1693551690600,680,4296,575,12
1693551691450,850,1725,11205,294
1693551692120,670,12450,738,272
1693551692890,770,8150,8467,142
1693551693190,300,1190,2097,174
1693551693890,700,1425,3851,208
1693551694280,390,311,4377,98
1693551695010,730,4741,3627,378
1693551695600,590,4475,12474,130
1693551696240,640,10669,1179,82
1693551696980,740,3402,7633,66
1693551697760,780,1541,8161,50
1693551698560,800,6996,4385,2
1693551699290,730,2194,6655,4
1693551700020,730,1792,7735,2
1693551700760,740,2580,7530,2
1693551701520,760,2151,8764,14
1693551702270,750,2218,7947,0
1693551702950,680,2008,5794,2
1693551703580,630,1619,5010,0
1693551704230,650,1866,5732,2
1693551704910,680,2194,8526,2
1693551705640,730,1409,4804,32
1693551706350,710,5459,931,2
1693551706940,590,1884,2212,154
1693551707850,910,7522,7351,172
1693551708550,700,8393,2454,86
1693551709310,760,7993,11949,12
1693551709970,660,6844,903,58
1693551710750,780,3238,16054,54
1693551711460,710,3082,1344,108
1693551712110,650,5076,6196,224
1693551712740,630,1752,9267,182
1693551714080,1340,26282,5639,116
1693551714710,630,631,7047,8
1693551715340,630,2724,3512,0
1693551715950,610,1903,5899,14
1693551716560,610,2528,4864,46
1693551717180,620,1017,5980,20
1693551717900,720,2341,8503,14
1693551718720,820,7986,7039,16
1693551719530,810,6977,5304,4
1693551720320,790,2652,6945,0
1693551721020,700,6026,1918,6
1693551721720,700,1804,9708,2
1693551722420,700,1887,12748,48
1693551728400,380,502,2553,168
1693551729010,610,1634,5675,140
1693551729730,720,5528,1775,74
1693551730450,720,1042,6914,152
1693551731170,720,3601,1178,160
1693551731970,800,4443,5901,188
1693551732650,680,1637,5109,164
1693551733290,640,1965,5081,54
1693551733940,650,1847,5636,44
1693551734600,660,2541,7703,18
1693551735280,680,2444,6210,0
1693551735950,670,1943,8897,2
